Block ,P number ,Type ,Spacing,Tree number,Basal Area1,Basal Area2,Basal Area3,Total B.A(mm),Total Dry Biomass(Kg),stem(Kg),Live Branches(Kg),Dead branches(Kg)
1,12,C,5,83,,,,,,,,
1,12,C,5,86,1562.48518,1128.300055,,2690.785235,7.245314393,8.359978145,0.616674056,0.075339352
1,12,C,5,87,1705.76038,98.53312,,1804.2935,4.682546074,5.402937777,0.36549786,0.049665621
1,12,C,5,88,216.45238,,,216.45238,0.461983142,0.533057471,0.022779923,0.005443507
1,12,C,5,89,962.2375,,,962.2375,2.356591226,2.719143722,0.160527647,0.025786957
1,12,C,5,90,2376.1375,176.7375,,2552.875,6.840707599,7.893124152,0.575639081,0.071317975
1,12,C,5,91,799.332655,697.55542,162.88128,1659.769355,4.274442663,4.932049227,0.327663812,0.04552519
1,12,C,5,92,2393.44992,349.712455,320.51542,3063.677795,8.348684592,9.633097606,0.730844445,0.086255548
1,12,C,5,93,1654.899255,526.921255,105.69688,2287.51739,6.06793828,7.001467246,0.498615905,0.063606767
1,12,C,5,94,,,,,,,,
1,12,C,5,95,1809.792,,,1809.792,4.698133781,5.420923593,0.366956336,0.049823432
1,12,C,5,96,100.300495,78.55,,178.850495,0.375070658,0.432773836,0.017745535,0.004461452
1,12,C,5,97,2333.131375,,,2333.131375,6.200212009,7.154090779,0.511668655,0.0649297
1,12,C,5,98,845.07232,,,845.07232,2.045016632,2.359634576,0.135440548,0.022522135
1,12,C,5,99,526.921255,,,526.921255,1.220770497,1.408581343,0.072987887,0.013763284
1,12,C,5,100,487.017855,243.31648,,730.334335,1.743740173,2.012007892,0.111894109,0.019343619
1,12,C,5,101,1313.992255,589.72198,254.502,2158.216235,5.694319909,6.570369126,0.462054786,0.059862851
1,12,C,5,102,750.003255,277.62712,,1027.630375,2.532046344,2.921591935,0.174953314,0.027616662
1,12,C,5,103,,,,,,,,
1,12,C,5,104,2198.151055,467.65528,213.852375,2879.65871,7.80253299,9.002922681,0.673931136,0.080860969
1,12,C,5,105,510.771375,444.93862,,955.709995,2.339136411,2.699003551,0.159103902,0.025604601
1,12,C,5,106,1472.726095,387.12582,,1859.851915,4.840248108,5.584901663,0.380297334,0.051261126
1,12,C,5,107,978.803695,471.496375,,1450.30007,3.688821459,4.256332453,0.274628784,0.039551774
1,12,C,5,108,,,,,,,,
1,12,C,5,109,1847.692375,638.022375,130.715055,2616.429805,7.026923377,8.107988512,0.594466861,0.073170073
1,12,C,5,110,1924.671375,995.51128,535.090455,3455.27311,9.520808022,10.98554772,0.855452175,0.097780381
1,12,C,5,111,415.5295,,,415.5295,0.941846884,1.086746405,0.05348797,0.010744453
